Date,N,windows_7,scaled_windows_7,MLEs_7
1995-01-31,10.0,1,1.0,10.0
1995-02-28,10.0,2,1.0,10.0
1995-03-31,10.0,3,1.0,10.0
1995-04-30,10.0,4,1.0,10.0
1995-05-31,10.0,5,1.0,10.0
1995-06-30,10.0,6,1.0,10.0
1995-07-31,10.0,7,1.0,10.0
1995-08-31,10.0,8,1.0,10.0
1995-09-30,10.0,9,1.0,10.0
1995-10-31,10.0,10,1.0,10.0
1995-11-30,10.0,11,1.0,10.0
1995-12-31,10.0,12,1.0,10.0
1996-01-31,10.0,13,1.0,10.0
1996-02-29,10.0,14,1.0,10.0
1996-03-31,10.0,15,1.0,10.0
1996-04-30,10.0,16,1.0,10.0
1996-05-31,10.0,17,1.0,10.0
1996-06-30,10.0,18,1.0,10.0
1996-07-31,10.0,19,1.0,10.0
1996-08-31,10.0,20,1.0,10.0
1996-09-30,10.0,21,1.0,10.0
1996-10-31,10.0,22,1.0,10.0
1996-11-30,10.0,23,1.0,10.0
1996-12-31,10.0,24,1.0,10.0
1997-01-31,10.0,25,1.0,10.0
1997-02-28,10.0,26,1.0,10.0
1997-03-31,10.0,27,1.0,10.0
1997-04-30,10.0,28,1.0,10.0
1997-05-31,10.0,29,1.0,10.0
1997-06-30,10.0,30,1.0,10.0
1997-07-31,10.0,31,1.0,10.0
1997-08-31,10.0,32,1.0,10.0
1997-09-30,10.0,33,1.0,10.0
1997-10-31,10.0,34,1.0,10.0
1997-11-30,10.0,35,1.0,10.0
1997-12-31,10.0,36,1.0,10.0
1998-01-31,10.0,37,1.0,10.0
1998-02-28,10.0,38,1.0,10.0
1998-03-31,10.0,39,1.0,10.0
1998-04-30,10.0,40,1.0,10.0
1998-05-31,10.0,41,1.0,10.0
1998-06-30,10.0,42,1.0,10.0
1998-07-31,10.0,43,1.0,10.0
1998-08-31,10.0,44,1.0,10.0
1998-09-30,10.0,45,1.0,10.0
1998-10-31,10.0,46,1.0,10.0
1998-11-30,10.0,47,1.0,10.0
1998-12-31,10.0,48,1.0,10.0
1999-01-31,10.0,49,1.0,10.0
1999-02-28,10.0,50,1.0,10.0
1999-03-31,10.0,51,1.0,10.0
1999-04-30,10.0,52,1.0,10.0
1999-05-31,10.0,53,1.0,10.0
1999-06-30,10.0,54,1.0,10.0
1999-07-31,10.0,55,1.0,10.0
1999-08-31,10.0,56,1.0,10.0
1999-09-30,10.0,57,1.0,10.0
1999-10-31,10.0,58,1.0,10.0
1999-11-30,10.0,59,1.0,10.0
1999-12-31,10.0,60,1.0,10.0
2000-01-31,10.0,61,1.0,10.0
