Date,MLEs_1,MLEs_10,MLEs_2,MLEs_3,MLEs_4,MLEs_5,MLEs_6,MLEs_7,MLEs_8,MLEs_9,N,scaled_windows_1,scaled_windows_10,scaled_windows_2,scaled_windows_3,scaled_windows_4,scaled_windows_5,scaled_windows_6,scaled_windows_7,scaled_windows_8,scaled_windows_9,windows_1,windows_10,windows_2,windows_3,windows_4,windows_5,windows_6,windows_7,windows_8,windows_9
1995-01-31,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1
1995-02-28,1.0,0.5,1.5,1.5,0.5,2.5,0.5,0.0,0.5,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,2,2,2,2
1995-03-31,1.0,1.0,1.3333333333333333,2.0,0.6666666666666666,2.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3
1995-04-30,1.25,1.0,1.0,1.75,1.25,1.75,0.75,1.0,1.0,1.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,4,4,4,4,4,4,4,4
1995-05-31,1.0,1.0,0.8,1.6,1.0,1.6,0.6,0.8,0.8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5,5,5,5,5,5,5
1995-06-30,0.8333333333333334,1.0,0.8333333333333334,1.6666666666666667,1.0,1.5,0.5,0.6666666666666666,1.0,1.1666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,6,6,6,6,6,6,6,6,6
1995-07-31,1.0,0.8571428571428571,0.7142857142857143,1.4285714285714286,1.0,1.5714285714285714,0.42857142857142855,0.5714285714285714,1.0,1.1428571428571428,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,7,7,7,7,7,7,7,7
1995-08-31,1.125,1.0,0.75,1.25,1.0,1.375,0.625,0.6666666666666666,1.125,1.125,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,8,8,8,8,8,8,8,6,8,8
1995-09-30,1.1111111111111112,1.1111111111111112,0.7777777777777778,1.2222222222222223,1.0,1.2222222222222223,0.5555555555555556,0.4444444444444444,1.1111111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,9,9,9,9,9,9,9,9
1995-10-31,1.3,1.0,0.8,1.2,0.9,1.1,0.5,0.4,1.1,0.9,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,10,10,10,10,10,10,10,10
