Date,MLEs_1,MLEs_10,MLEs_2,MLEs_3,MLEs_4,MLEs_5,MLEs_6,MLEs_7,MLEs_8,MLEs_9,N,scaled_windows_1,scaled_windows_10,scaled_windows_2,scaled_windows_3,scaled_windows_4,scaled_windows_5,scaled_windows_6,scaled_windows_7,scaled_windows_8,scaled_windows_9,windows_1,windows_10,windows_2,windows_3,windows_4,windows_5,windows_6,windows_7,windows_8,windows_9
1995-01-31,0.2458288339316845,0.014894505550227418,0.00889360576166193,0.20081177780238693,0.0807925028147206,0.04464744864447051,0.1980305313800448,0.047276866651126015,0.308249667933888,0.021639748616985168,0.2458288339316845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1
1995-02-28,0.1819767318460418,0.030303889928113118,0.08752101233530947,0.15601897361133682,0.07652756806614101,0.16670438260821202,0.10750960123969028,0.13191565919289944,0.19014387814628075,0.05031766973571235,0.11812462976039913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,2,2,2,2
1995-03-31,0.1276078906707242,0.07206502845130236,0.059797408453284864,0.10938946209753246,0.09560090522272956,0.17503563275214784,0.11424812735148088,0.10237531840437668,0.14735163011025526,0.04065999421235604,0.018870208320089003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3
1995-04-30,0.1044301320926588,0.05422885586158499,0.051548173246021456,0.10757946790558598,0.07600515905579619,0.1378148062905496,0.0877534808038264,0.09614954777910834,0.17709280861754298,0.0820270651440883,0.03489685635846263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,4,4,4,4,4,4,4,4
1995-05-31,0.10289089454918657,0.044344178341422805,0.04725427914098367,0.0948699331862546,0.08629133954707542,0.11111963717416673,0.08593860836640424,0.07806892905530169,0.1552549313288501,0.07444273988985706,0.09673394437529753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5,5,5,5,5,5,5
1995-06-30,0.12060742197376792,0.053978609561769135,0.04913135234768768,0.09162466600300988,0.10495980450180403,0.11575650085816165,0.11735376979524548,0.06973330358867268,0.1350175515758145,0.06474790370728511,0.2091900590966748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,6,6,6,6,6,6,6,6,6
1995-07-31,0.10729382066785532,0.05336737588429393,0.04491782860102129,0.08141321921937543,0.1260787041905305,0.14442702057048554,0.11262680526776735,0.05982632212638949,0.1200655260635448,0.0585275828788249,0.027412212832379625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,7,7,7,7,7,7,7,7
1995-08-31,0.10179272165708028,0.061748733800129414,0.054505463251620964,0.08554458619566843,0.11715535963642228,0.129921201503849,0.10450343262623024,0.05996256815053633,0.1183241358142213,0.06981794866423832,0.06328502858165512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,8,8,8,8,8,8,8,8,8
1995-09-30,0.10060421239863188,0.06074761578900687,0.06124683452043773,0.090158349024458,0.10421980706318586,0.12031822463731415,0.10633200819692626,0.060876698739490635,0.1078777663352624,0.0688335768654,0.09109613833104473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,9,9,9,9,9,9,9,9
1995-10-31,0.0939253986055692,0.08864707472658086,0.056905855823504166,0.09921532042863662,0.10296323304744252,0.11168898374838812,0.09728718453505747,0.07877301623823099,0.11986662006959015,0.0812550884362819,0.03381607446800496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,10,10,10,10,10,10,10,10
